"","x"
"1","O14793.2"
"2","A0A024R9M9"
"3","Q9H8J5"
"4","Q9UHD9"
"5","P11717.1"
"6","Q9NY97"
"7","A0A024R9Z1"
"8","Q9UI15"
"9","H0YNK6.1"
"10","Q8TEA8"
"11","P06213"
"12","O43663.1"
"13","P81277"
"14","Q9NPA1"
"15","A0A024R4A2"
"16","Q6UXK2.1"
"17","A6NCE7"
"18","Q9NX01"
"19","Q9Y4C5.1"
"20","B4E3V1"
"21","P15907"
"22","A0A024RD04"
"23","E7ES19"
"24","P56277"
"25","B4DNK3"
"26","O43921.1"
"27","A0A024QZ67"
"28","Q86U17"
"29","Q14005"
"30","Q9NQX3"
"31","Q9UK76"
"32","Q13442"
"33","Q9UGM6"
"34","P56159"
"35","P00742.1"
"36","Q9UJU6"
"37","A0A090N8Y2"
"38","Q92851.2"
"39","Q9H1J7"
"40","O00445"
"41","O15355"
"42","Q8WVN6"
"43","Q8N4X5"
"44","A0A0U5J797.1"
"45","P07307"
"46","A0A1K0FUB6"
"47","P05107"
"48","P41208"
"49","A0N0L5"
"50","B4DYV8"
"51","Q9H488"
"52","P39748"
"53","A0A024R8E5"
"54","A4D1B8"
"55","P10153"
"56","Q04760"
"57","A5D8T4"
"58","P11182"
"59","P06744"
"60","P43403"
"61","A0A024R433"
"62","A0A0A6YYF2"
"63","Q9H2J9"
"64","Q9NRM6"
"65","P08319"
"66","P52799.1"
"67","P79483"
"68","B3KRN7"
"69","K7ENC0"
"70","P07108"
"71","A0A0S2Z5L1"
"72","Q16549"
"73","A8K632"
"74","B7ZKJ8"
"75","A0A140VJC8"
"76","C9J6G4.1"
"77","Q6GQQ9"
"78","A0A087WW40"
"79","A0A0S2Z421"
"80","Q06323"
"81","B2R769"
"82","Q8N4L8"
"83","Q06190"
"84","Q6MZQ3.1"
"85","Q9BXD5"
"86","O43897"
"87","B2R4C5"
"88","P98177"
"89","P30040"
"90","Q9P0V8"
"91","P30838"
"92","P30613.1"
"93","E7ENV9"
"94","Q9NZK7.1"
"95","A0A024R380"
"96","Q9Y4Z2"
"97","P58012"
"98","Q7Z7G1"
"99","Q15465"
"100","B2RC63"
"101","P40967"
"102","Q9NR55"
"103","P09529.2"
"104","P51857"
"105","P12268"
"106","B3KXI1"
"107","A0A024R294"
"108","Q00266"
"109","O00151"
"110","P55773.1"
"111","Q9UM44"
"112","O95994"
"113","Q8NEZ4"
"114","A8MWQ5"
"115","Q96L08"
"116","O75636"
"117","P21128"
"118","B7Z2V4"
"119","Q5VU65"
"120","Q9UNE0"
"121","P26715"
"122","Q96P16"
"123","Q04721"
"124","Q7Z5H3"
"125","A0A0S2Z580"
"126","O43827"
"127","P40225"
"128","Q07325.1"
"129","O75381.1"
"130","B4E2V8"
"131","A0A024RB31.1"
"132","P20073.1"
"133","P68104.1"
"134","A4D158"
"135","Q8N5L8"
"136","O00629"
"137","Q9NPE2"
"138","Q9BXJ7"
"139","Q86UU9"
"140","Q9H5V8.2"
"141","Q8IWE4"
"142","Q96IU4"
"143","O94768.1"
"144","O60739"
"145","U3KQB3"
"146","Q9UKJ1"
"147","Q5T1H1"
"148","M0QZ22"
"149","Q92562"
"150","O95057"
"151","Q9UNA0"
"152","A0A087X2J2"
"153","Q6EBC2"
"154","B0LPE5.1"
"155","O14523"
"156","J3KPF3"
"157","Q5TA77"
"158","Q14117"
"159","A0A0S2Z5D6"
"160","Q92835"
"161","Q15744"
"162","Q8N350"
"163","Q9BVC3"
"164","A0A024RB85"
"165","Q8TBB1"
"166","I3L2P9"
"167","Q4VCS5"
"168","Q15303"
"169","A0A024R3U6"
"170","Q8WUW1"
"171","Q03060"
"172","Q5VWC4"
"173","P55199"
"174","P32881"
"175","Q68E01"
"176","A0A0S2Z310"
"177","O43323"
"178","A0A024R9N6"
"179","P06127"
"180","Q9NRA1.1"
"181","Q16352"
"182","P26998"
"183","O60701"
"184","A0A0E3SU01"
"185","P60880"
"186","P30419.1"
"187","A0A0C4DFU4"
"188","A0A024R5U5"
"189","O95741"
"190","Q9HC16"
"191","P23141.1"
"192","A0A140VKD2"
"193","Q8IUF8"
"194","A0A0U3FYV6"
"195","A0A024R7G2"
"196","Q8TCT1"
"197","Q96C12.1"
"198","A0A0C4DGU2"
"199","A0A140VJT7"
"200","P01579"
"201","A0A024R9W4"
"202","A0A024RCY0"
"203","O15247.1"
"204","A0A024R718"
"205","Q6UXF1"
