"","x"
"1","Q7Z4F1"
"2","Q5JTV8"
"3","P30101.1"
"4","O43464"
"5","Q8IXL6"
"6","O75436"
"7","Q8IXL6.1"
"8","Q15084"
"9","Q9NZN3"
"10","Q96HY6"
"11","Q9H2B2"
"12","Q14696"
"13","P11717"
"14","Q9UBV8"
"15","A0A024RC48"
"16","Q8N128"
"17","E5KRP5"
"18","Q8IY22"
"19","Q12797"
"20","A8K694"
"21","Q6IBS0"
"22","P57087"
"23","Q9UJY5"
"24","O94991"
"25","Q7Z5A7"
"26","B4DUF7.1"
"27","A0A0B4J1T8"
"28","P14314"
"29","O14793.2"
"30","A0A024R918"
"31","Q15007"
"32","A0A024QZV0"
"33","Q14393"
"34","O15400"
"35","O15496"
"36","P54753"
"37","P98172"
"38","Q5UCC4"
"39","Q8N5K1"
"40","Q59FP8"
"41","P19438"
"42","Q13253.1"
"43","Q7Z408"
"44","Q86Y82"
"45","A0A140VJI2"
"46","Q15223"
"47","Q15700"
"48","A0A024R7A8"
"49","A0A024R159"
"50","A8K7W3"
"51","Q15291"
"52","Q9NZU0"
"53","A0A024R2E5"
"54","B0LPF3"
"55","O60462"
"56","O60462.1"
"57","F8W754"
"58","Q96JJ7"
"59","Q9UBS4"
"60","Q59H90"
"61","A0A090N7V8"
"62","O76064"
"63","Q9UM47"
"64","Q96DZ1"
"65","O14807"
"66","A0A140T9D0"
"67","Q9Y3D6"
"68","Q14982"
"69","A0A024R9M9"
"70","Q9Y3C8"
"71","P15529"
"72","O43752"
"73","A0A024R4D7"
"74","Q6UY11"
"75","P55735"
"76","A0A024R5N3.1"
"77","Q92974"
"78","Q9NVA2"
"79","Q3SYF1"
"80","Q06124.1"
"81","A0A024RAD5"
"82","P22607.1"
"83","Q9UNK0"
"84","A0A024R7W0"
"85","Q8TBM8.1"
"86","A0A024RDP0"
"87","O76095"
"88","Q8IZJ1.2"
"89","E7ESX1"
"90","Q8TDB6"
"91","Q96EU7.1"
"92","Q96FV9"
"93","Q8IW52"
"94","O95297"
"95","O60243"
"96","Q6S5L8"
"97","Q96EU7"
"98","B7Z6V5"
"99","O95881"
"100","P52799"
"101","Q9ULP0"
"102","Q96CY4"
"103","Q99426"
"104","O15232.1"
"105","A0A0E3SU01.1"
"106","A5PLL7"
"107","Q9H0V9"
"108","A8K383"
"109","Q05513"
"110","Q658J6"
"111","P23946"
"112","O43155"
"113","O60476"
"114","Q9H461"
"115","A5PLL7.1"
"116","O60909"
"117","P04629"
"118","A0A024R4E1"
"119","P42701.1"
"120","O95166.1"
"121","O14786"
"122","Q8N3T6.1"
"123","P62081"
"124","P46531"
"125","Q12913"
"126","P41223"
"127","Q8N2Q7.1"
"128","Q15057"
"129","A0A024R759.1"
"130","Q9H8J5"
"131","P46109"
"132","Q15004"
"133","Q969D9"
"134","O95498.1"
"135","Q9Y4D7"
"136","Q9UBG0"
"137","Q9P021"
"138","Q9UHD9"
"139","A0A0D9SFF0"
"140","Q6DN72"
"141","A0A024R7M0"
"142","Q86TH1"
"143","H3BN78"
"144","P41271"
"145","P50238"
"146","P30519"
"147","A3KLL5"
"148","B7ZLE5"
"149","B4DT31"
"150","Q13443"
"151","Q9NQG5"
"152","B3KXH0"
"153","Q9Y6N7"
"154","Q9BZM6.1"
"155","Q6UX71"
"156","A0A1U9X796"
"157","A0A024R496"
"158","A0A087X1S5.2"
"159","A0A024RDK9"
"160","Q9UGP4"
"161","Q9P121"
"162","O75398"
"163","Q9BXP8"
"164","B4DYV8.1"
"165","P60520"
"166","Q9H7P6"
"167","Q53FR9"
"168","Q8N126"
"169","O95243"
"170","Q9HB71"
"171","Q96CS3"
"172","A0A087WVQ6"
"173","P20273"
"174","B4DTW8"
"175","A0A024R5G2"
"176","O14737"
"177","Q13508"
"178","Q59HG8"
"179","O15394"
"180","A0A0S2Z5D9"
"181","Q8IZJ1.1"
"182","A2TDT2"
"183","A0A024R4X4.1"
"184","O94856"
"185","Q9BYD6"
"186","O14686"
"187","Q8N129"
"188","O00548"
"189","A0A024R5D8"
"190","Q16667"
"191","A0A158RFU1"
"192","Q9UGV2"
"193","P54826"
"194","A0A0S2Z3K9"
"195","A0M8W4"
"196","O60844"
"197","A0A024R5I6"
"198","Q9HCU0"
"199","P43360.1"
"200","B2R5U3"
"201","Q8N2Q7.2"
"202","A0A024R9G4"
"203","B4DTB8"
"204","P20810"
"205","Q9UK23"
"206","A0A024R6L5"
"207","B4DSE0"
"208","Q8TDQ0.2"
"209","P07202"
"210","O75084"
"211","Q96S95"
"212","Q02487"
"213","Q8IZU9"
"214","Q9NR21"
"215","Q8WWQ8"
"216","Q9GZX9"
"217","Q53RD9"
"218","P11717.1"
"219","Q9NT62"
"220","Q2TAL6"
"221","Q2TAL6.1"
"222","Q99828"
"223","P98073"
"224","Q6P4F1"
"225","P32856"
"226","Q8NFT8.1"
"227","O60682"
"228","B7Z1Q0"
"229","Q9NY97"
"230","A0A024R9Z1"
"231","A0A024R730"
"232","Q06187"
"233","P09529"
"234","A0A024R6H3"
"235","O00264"
"236","P49006"
"237","B7Z8F4"
"238","A0A024R191"
"239","Q8TDY8"
"240","Q9UI15"
"241","B7ZM79"
"242","Q9HCK4"
"243","L7RRS6"
"244","F5H5X9"
"245","Q9UP38"
"246","B7Z4H4"
"247","Q9Y264"
"248","Q9BXJ3.1"
"249","Q5VY43"
"250","H0YNK6.1"
"251","Q96AP7.1"
"252","P41236"
"253","B3KNK9.1"
"254","Q8N2Q7"
"255","Q6P4E1"
"256","A0A075B738"
"257","L7RT22"
"258","O00548.1"
"259","Q02363"
"260","Q13137"
"261","Q9UHD2"
"262","B4DS68"
"263","B4DZF6"
"264","B7ZMF6"
"265","Q8N3J6"
"266","G5E9L0"
"267","P50225"
"268","P07327"
"269","P05014"
"270","A0A1B1RVA9"
"271","P20160.1"
"272","P00390"
"273","A0A087WWV2"
"274","A0A024R860"
"275","Q8TEA8"
"276","Q92692"
"277","B4DFE5"
"278","P11047"
"279","P21860"
"280","Q9UNW1"
"281","A0A024R1G9"
"282","O15031"
"283","Q9H832"
"284","Q9BY67"
"285","B4DUD4"
"286","A0A024R7I0.1"
"287","O14514"
"288","A0A1U9X7U3"
"289","G3V207"
"290","A0A0K0K1K7"
"291","O94973"
"292","P19883"
"293","A0A024R2B3"
"294","Q9BT88"
"295","P13647"
"296","O75688"
"297","A0A0S2Z3Y2"
"298","Q969Q4"
"299","A0A024R908"
"300","O75569"
"301","Q6ZVN8"
"302","O76096.1"
"303","Q9HCB6"
"304","Q14332"
"305","Q6P2E9"
"306","Q03405"
"307","A8K385"
"308","Q9NXS2"
"309","Q8IU80"
"310","Q96PX8"
"311","P26992"
"312","Q00169"
"313","A0A024R6G3"
"314","Q99729.1"
"315","Q4KMP3"
"316","O95704"
"317","A0A024QZN7"
"318","Q9UKM7"
"319","P48058"
"320","A0A024R9L6"
"321","B3KP41"
"322","A0A024RBL2"
"323","Q8WVH0"
"324","Q99542"
"325","Q9H492"
"326","A0A024R452.1"
"327","Q6PD74"
"328","Q8IZJ1"
"329","Q13308"
"330","Q9UHX1"
"331","A0A024R759"
"332","A0A024RA90"
"333","Q96L58"
"334","P06213"
"335","A0A096LNX8"
"336","O43663.1"
"337","P12644"
"338","Q15375"
"339","Q96CG8"
"340","B4DT49"
"341","Q16623"
"342","Q09328.1"
"343","A0A024R2W4"
"344","P35625"
"345","Q9H819"
"346","B4DS68.2"
"347","Q9P232"
"348","O00167"
"349","Q86SR1"
"350","O14920"
"351","Q9Y243"
"352","A0A024R887"
"353","U3KQL2"
"354","P20333"
"355","Q969P0"
"356","Q01974"
"357","P63302"
"358","Q7Z6I6"
"359","Q96AP7"
"360","P17693"
"361","Q504U8.1"
"362","P21399"
"363","P78504"
