"","x"
"1","HYKK"
"2","ATE1"
"3","VPS29"
"4","RDH16"
"5","MTMR7"
"6","ARL2"
"7","FOXO1"
"8","CABP7"
"9","RND1"
"10","MYBPC1"
"11","KCTD2"
"12","CHFR"
"13","TP53I11"
"14","TSSK1B"
"15","NUDT7"
"16","NFIA"
"17","DCUN1D5"
"18","IRF6"
"19","MOB4"
"20","MAP1LC3B2"
"21","WNT10B"
"22","RNF215"
"23","SNRPF"
"24","PLEKHO2"
"25","CCDC24"
"26","ZNF483"
"27","EFS"
"28","SELENOS"
"29","COMTD1"
"30","KRT19"
"31","PTPMT1"
"32","ZRANB1"
"33","AGR2"
"34","DYNLT3"
"35","ALAD"
"36","HAX1"
"37","NAALADL1"
"38","CTF1"
"39","PICK1"
"40","CRYZL1"
"41","RNF128"
"42","NECAB3"
"43","MVK"
"44","UCHL5"
"45","CLEC4D"
"46","DDI2"
"47","TBCEL"
"48","CYB561D1"
"49","ARL1"
"50","MAGED1"
